id,title,media_type,original_title,release_date,year,format,genre,director,rating,user_rating,tmdb_id,tmdb_media_type,tmdb_url,poster_path,backdrop_path,overview,trailer_url,runtime,upc,location,notes,season_number,episode_number,episode_title,network,type_details,series_id,space_id,library_id,import_source,added_by,created_at,updated_at,signed_by,signed_role,signed_on,signed_at,signed_proof_path,cast_members,owned_formats,estimated_value_low,estimated_value_mid,estimated_value_high,valuation_currency,valuation_source,valuation_last_updated,tv_season_count,tv_completed_season_count,tv_all_seasons_completed,cast
4862,(1982) Destroyer Duck 1,book,,1980-01-01T00:00:00.000Z,1980,Digital,"Comic books, strips, etc",,,,,movie,http://10.22.50.100:8083/opds/download/785/epub/,http://10.22.50.100:8083/opds/cover/785,,,,,,,,,,,,"{""provider_name"":""cwa_opds"",""calibre_entry_id"":""urn:uuid:15a6effe-75cf-4072-a9fa-298dfcf3adcf"",""provider_item_id"":""urn:uuid:15a6effe-75cf-4072-a9fa-298dfcf3adcf"",""calibre_external_url"":""http://10.22.50.100:8083/opds/download/785/epub/"",""provider_external_url"":""http://10.22.50.100:8083/opds/download/785/epub/""}",,1,7,cwa_opds,1,2026-03-12T04:55:04.335Z,2026-04-06T06:35:42.527Z,,,,,,,"[""digital""]",,,,,,,0,0,false,
4865,(1984) Epic Illustrated 27,book,,,,Digital,,,,,,movie,http://10.22.50.100:8083/opds/download/776/epub/,http://10.22.50.100:8083/opds/cover/776,,,,,,,,,,,,"{""provider_name"":""cwa_opds"",""calibre_entry_id"":""urn:uuid:aacbdcd8-19d3-459e-a0f7-11c68f4fe5da"",""provider_item_id"":""urn:uuid:aacbdcd8-19d3-459e-a0f7-11c68f4fe5da"",""calibre_external_url"":""http://10.22.50.100:8083/opds/download/776/epub/"",""provider_external_url"":""http://10.22.50.100:8083/opds/download/776/epub/""}",,1,7,cwa_opds,1,2026-03-12T04:55:05.206Z,2026-04-06T06:35:42.527Z,,,,,,,"[""digital""]",,,,,,,0,0,false,
4866,(1984) Groo - Eclipse Special,book,,1984-01-01T00:00:00.000Z,1984,Digital,,,,,,movie,http://10.22.50.100:8083/opds/download/774/epub/,http://10.22.50.100:8083/opds/cover/774,,,,,,,,,,,,"{""author"":""Fox Chase Cancer Center"",""provider_name"":""cwa_opds"",""calibre_entry_id"":""urn:uuid:f973c5fe-1c20-4e0d-bea4-66df91c52484"",""provider_item_id"":""urn:uuid:f973c5fe-1c20-4e0d-bea4-66df91c52484"",""calibre_external_url"":""http://10.22.50.100:8083/opds/download/774/epub/"",""provider_external_url"":""http://10.22.50.100:8083/opds/download/774/epub/""}",,1,7,cwa_opds,1,2026-03-12T04:55:05.751Z,2026-04-06T06:35:42.527Z,,,,,,,"[""digital""]",,,,,,,0,0,false,
4867,(1985) Marvel Age v1 024,book,,,,Digital,,,,,,movie,http://10.22.50.100:8083/opds/download/813/epub/,http://10.22.50.100:8083/opds/cover/813,,,,,,,,,,,,"{""isbn"":""9788410510173"",""provider_name"":""cwa_opds"",""calibre_entry_id"":""urn:uuid:18666f30-1a94-496c-b665-a64724800617"",""provider_item_id"":""urn:uuid:18666f30-1a94-496c-b665-a64724800617"",""calibre_external_url"":""http://10.22.50.100:8083/opds/download/813/epub/"",""provider_external_url"":""http://10.22.50.100:8083/opds/download/813/epub/""}",,1,7,cwa_opds,1,2026-03-12T04:55:06.051Z,2026-04-06T06:35:42.527Z,,,,,,,"[""digital""]",,,,,,,0,0,false,
4868,(1987) Death of Groo The Wanderer,book,,2002-01-01T00:00:00.000Z,2002,Digital,Graphic novels,,,,,movie,http://10.22.50.100:8083/opds/download/814/epub/,http://10.22.50.100:8083/opds/cover/814,,,,,,,,,,,,"{""isbn"":""9780936211749"",""author"":""Mark Evanier, Stan Sakai, Tom Luth"",""provider_name"":""cwa_opds"",""calibre_entry_id"":""urn:uuid:e1a846f1-86f4-4c67-938a-7d09f0035b60"",""provider_item_id"":""urn:uuid:e1a846f1-86f4-4c67-938a-7d09f0035b60"",""calibre_external_url"":""http://10.22.50.100:8083/opds/download/814/epub/"",""provider_external_url"":""http://10.22.50.100:8083/opds/download/814/epub/""}",,1,7,cwa_opds,1,2026-03-12T04:55:06.399Z,2026-04-06T06:35:42.527Z,,,,,,,"[""digital""]",,,,,,,0,0,false,
4869,(1987) Marvel Age v1 049,book,,,,Digital,,,,,,movie,http://10.22.50.100:8083/opds/download/810/epub/,http://10.22.50.100:8083/opds/cover/810,,,,,,,,,,,,"{""provider_name"":""cwa_opds"",""calibre_entry_id"":""urn:uuid:939e93b0-47a3-43ae-bed1-36e7c6e37abe"",""provider_item_id"":""urn:uuid:939e93b0-47a3-43ae-bed1-36e7c6e37abe"",""calibre_external_url"":""http://10.22.50.100:8083/opds/download/810/epub/"",""provider_external_url"":""http://10.22.50.100:8083/opds/download/810/epub/""}",,1,7,cwa_opds,1,2026-03-12T04:55:07.192Z,2026-04-06T06:35:42.527Z,,,,,,,"[""digital""]",,,,,,,0,0,false,
4870,(1988) Marvel Age v1 061,book,,,,Digital,,,,,,movie,http://10.22.50.100:8083/opds/download/811/epub/,http://10.22.50.100:8083/opds/cover/811,,,,,,,,,,,,"{""provider_name"":""cwa_opds"",""calibre_entry_id"":""urn:uuid:43744475-b085-42f4-9a2c-d64e5ec041e0"",""provider_item_id"":""urn:uuid:43744475-b085-42f4-9a2c-d64e5ec041e0"",""calibre_external_url"":""http://10.22.50.100:8083/opds/download/811/epub/"",""provider_external_url"":""http://10.22.50.100:8083/opds/download/811/epub/""}",,1,7,cwa_opds,1,2026-03-12T04:55:07.602Z,2026-04-06T06:35:42.527Z,,,,,,,"[""digital""]",,,,,,,0,0,false,
4871,(1989) Marvel Age v1 073,book,,,,Digital,,,,,,movie,http://10.22.50.100:8083/opds/download/809/epub/,http://10.22.50.100:8083/opds/cover/809,,,,,,,,,,,,"{""provider_name"":""cwa_opds"",""calibre_entry_id"":""urn:uuid:74ca1a39-38d8-43f0-bb72-a886320c9250"",""provider_item_id"":""urn:uuid:74ca1a39-38d8-43f0-bb72-a886320c9250"",""calibre_external_url"":""http://10.22.50.100:8083/opds/download/809/epub/"",""provider_external_url"":""http://10.22.50.100:8083/opds/download/809/epub/""}",,1,7,cwa_opds,1,2026-03-12T04:55:08.079Z,2026-04-06T06:35:42.527Z,,,,,,,"[""digital""]",,,,,,,0,0,false,
4872,(1990) )Marvel Age v1 085,book,,2024-03-06T00:00:00.000Z,2024,Digital,,,,,,movie,http://10.22.50.100:8083/opds/download/812/epub/,http://10.22.50.100:8083/opds/cover/812,,,,,,,,,,,,"{""isbn"":""9791039123532"",""provider_name"":""cwa_opds"",""calibre_entry_id"":""urn:uuid:8b663f1a-b3f4-46f1-86ab-e2f9dceaee50"",""provider_item_id"":""urn:uuid:8b663f1a-b3f4-46f1-86ab-e2f9dceaee50"",""calibre_external_url"":""http://10.22.50.100:8083/opds/download/812/epub/"",""provider_external_url"":""http://10.22.50.100:8083/opds/download/812/epub/""}",,1,7,cwa_opds,1,2026-03-12T04:55:08.950Z,2026-04-06T06:35:42.527Z,,,,,,,"[""digital""]",,,,,,,0,0,false,
4873,(1993) Life of Groo The Wanderer,book,,1990-01-01T00:00:00.000Z,1990,Digital,,,,,,movie,http://10.22.50.100:8083/opds/download/793/epub/,http://10.22.50.100:8083/opds/cover/793,,,,,,,,,,,,"{""isbn"":""9780871356420"",""author"":""Sergio Aragonés"",""publisher"":""Marvel Comics"",""provider_name"":""cwa_opds"",""calibre_entry_id"":""urn:uuid:32dc8953-fa06-4f3a-9693-c99124633eeb"",""provider_item_id"":""urn:uuid:32dc8953-fa06-4f3a-9693-c99124633eeb"",""calibre_external_url"":""http://10.22.50.100:8083/opds/download/793/epub/"",""provider_external_url"":""http://10.22.50.100:8083/opds/download/793/epub/""}",,1,7,cwa_opds,1,2026-03-12T04:55:09.348Z,2026-04-06T06:35:42.527Z,,,,,,,"[""digital""]",,,,,,,0,0,false,
