id,title,media_type,original_title,release_date,year,format,genre,director,rating,user_rating,tmdb_id,tmdb_media_type,tmdb_url,poster_path,backdrop_path,overview,trailer_url,runtime,upc,location,notes,season_number,episode_number,episode_title,network,type_details,series_id,space_id,library_id,import_source,added_by,created_at,updated_at,signed_by,signed_role,signed_on,signed_at,signed_proof_path,cast_members,owned_formats,estimated_value_low,estimated_value_mid,estimated_value_high,valuation_currency,valuation_source,valuation_last_updated,tv_season_count,tv_completed_season_count,tv_all_seasons_completed,cast
4864,(1984) Amazing Heroes #061,comic_book,,,,Digital,,,,,,movie,http://10.22.50.100:8083/opds/download/799/epub/,http://10.22.50.100:8083/opds/cover/799,,,,,,,,,,,,"{""series"":""Amazing Heroes"",""cover_date"":""1984-01-01"",""issue_number"":""061"",""provider_name"":""cwa_opds"",""calibre_entry_id"":""urn:uuid:441a944b-fc4c-4ea5-88c2-f2f80bb64e4a"",""provider_item_id"":""urn:uuid:441a944b-fc4c-4ea5-88c2-f2f80bb64e4a"",""calibre_external_url"":""http://10.22.50.100:8083/opds/download/799/epub/"",""provider_external_url"":""http://10.22.50.100:8083/opds/download/799/epub/""}",,1,7,cwa_opds,1,2026-03-12T04:55:04.905Z,2026-04-18T04:35:38.806Z,,,,,,,"[""digital""]",,,,,,,0,0,false,
4658,Alpha Flight #1,comic_book,,1983-08-01T00:00:00.000Z,1983,Digital,,,,,,,http://10.22.50.100:8083/opds/download/207/cbr/,https://static.metron.cloud/media/issue/2021/08/24/alpha-flight-1.jpg,,"A JOHN BYRNE production. The long-awaited debut of Marvel's Canadian mutant team Alpha Flight is forced to decide what the future holds for them, but not before battling the man-mountain called Tundra. The 48-page introduction to what will be the smash-hit series of 1983. This is the 1st issue of John Byrne's Alpha Flight. After leaning that Dept. H is shutting down the Alpha Flight program, Vindicator is sure that the team is done for ever. But a super natural monster name Tundra is unleashed on the Canadian countryside and Alpha Flight is called back into action -- but not by the Canadian Government. Vindicator's wife, Heather, acutally takes it upon herself to call the team back to help Vindicator in the fight. In doing so she also calls in 2 Beta Flight members, Puck and Marrina to help previous Alpha Flight members Aurora, Northstar, Sasquatch, Shaman and Snowbird. Full Summary: James MacDonald Hudson stands alone in the top secret complex beneath Parliament Hill, and ponders over the recent disbanding of Alpha Flight by the Canadian government. He recalls their last battle with the Wendigo in which he, Snowbird and Shaman teamed up with Wolverine and Nightcrawler of the X-Men. He wonders what will happen, not only to the members of Alpha Flight, but their training groups, Beta Flight and the raw recruits Gamma Flight. Gary Cody, Alpha Flight’s governmental liaison, arrives and reminds Hudson that the power is being switched off soon. However he also offers to keep in touch with Hudson, as an unofficial liaison. Vindicator reminds Cody that he will still be there to serve his country, after all he has nothing else to do, and departs, wondering if Captain America ever had problems like this. Two thousand miles Northwest. An elderly and seemingly mad man sits outside his tent. A small fire dwindling and belongings scattered around. The man is obsessed with death and thinks to himself about those who have laughed at him. He arises and begins to carve a shape into the snow - an enormous shape, one that resembles a humanoid figure. With his task partly completed he returns to his camp and retrieves an ancient metal headband, places it upon his head, and it begins, as magic swirls in the air. The Sarcee Reserve, just outside of Calgary Alberta. In his office, Dr. Michael Twoyoungmen sits at his desk - but is suddenly startled by subtle mystic signal from his grandfather. Knowing some trouble stirs, as his grandfathers' spirit only contacts him when modern science cannot be a match for the peril, Shaman opens a box, with his grandfathers' skull inside it. He waits to be spoken to. LaValle, Quebec, more specifically, Madame Dupont's School for girls. Jeanne-Marie Beaubier walks through the quiet old school, when she is mobbed by schoolgirls, asking if the rumors regarding her famous brother's visit were true. As if on cue, Jean-Paul Beaubier, famous Olympic skier, arrives in a sports car. It is he who then becomes the center of attention as the schoolgirls bombard him with questions. Jean-Paul mentions to his sister the two's recent adventure in New York with the Machine Man, but Jeanne-Marie quiets him and leads him away from the schoolgirls to her room. On the way they are stopped by Sister Anne, a nun who reminds Jeanne-Marie of the rules regarding men in her quarters. Jeanne-Marie replies: “This is not a man - I mean of course he is a man, but he is also my brother.“ The nun apologizes and the siblings enter Jeanne-Marie's room. Northstar asks Jeanne-Marie why in the two weeks since Alpha Flights disbanding she has not left the school to live with him. Jeanne-Marie replies by saying that she is home, with the nuns who raised her. Jean-Paul tells her this is not a home, but a prison. Someone with such a free spirit as her should not be caged, nor should she hide her mutant powers. Jeanne-Marie disagrees, should she use her powers as Northstar does, for personal gain? Northstar angrily tells her that one should use any gifts they are given to their fullest. Jeanne-Marie tells him he is cheating, but Jean-Paul tells her it is she who is cheating by hiding behind reading glasses she does not even need. Jean-Paul tells his sister that he has no love for James Hudson, other than the fact that it was he who reunited the twins and set Aurora free, and that she shouldn't be denied. Jeanne-Marie angrily remarks: “Deny her? I hate her ! She is a devil, a foul imp who uses me. She is perverse !“ Jean-Paul drags his sister in front of a mirror and tells her that Aurora is her true face as Northstar is his. Jeanne-Marie is no contest for Northstar, though she knows the words he speaks are true and that he is concerned for her. She passes out. Northstar contemplates: “What could be greater harm, than which you do yourself ?“. He curses Hudson for bringing them back together, when all they can do is fight, and he curses the government for closing down Department H, for while he hates Alpha Flight in general, he fears Aurora can have no life without it. 138 Laurier Drive, Ottawa, the flat of James and Heather Hudson. Heather waters her plants after neglecting them for some time, when Vindicator flies through an open window. They talk about Hudson's last day at Parliament Hill before cracking a joke about getting married. “How about ten years ago next Thursday ?“ The phone rings and it is Gary Cody who suggests the Hudsons turn on the television. The scene they see is of Resolute Bay, where a brilliant light, which scientists have confirmed not to be a manifestation of the Northern Lights, is visible. The Hudsons learn it started about forty minutes ago, though no one knows for sure what is happening. Vindicator tells Heather that he is going to investigate. Heather suggests he contact Snowbird or Shaman, as it is more their field of expertise. She really thinks he should contact the rest of Alpha Flight. As he leaves the same way he came in, James tells his wife that there is no Alpha Flight. Not one to sit by idle, Heather pulls back a book from a bookcase, opening a secret room. Computer cards that hold the signal to contact the rest of Alpha Flight, as well as cards with Beta, Gamma and potential recruits lay scattered on the floor. Heather searches through for the gold-edged Alpha Flight cards in doing so discovers two whom she has never met, labeled Puck and Marrina. She realizes they must have been Beta Flight members who were ready to move up to Alpha Flight had they not been disbanded. She inserts the cards into the computer: “So as of now you're all officially active !“ Toronto, Corky's Tavern, in a run down part of town. Mary, the waitress, is being hassled by two drunks. The barman asks Eugene Milton Judd if he will do something about it. The short man agrees to, and tells the revelers to lay off. The men just laugh at him - until he easily knocks the two of them out. Suddenly a microscopic implant within his skull is activated - Puck has received the Alpha signal. Ecstatic he rushes out of the bar and cartwheels down the street. Newfoundland. A lone figure stands on the rough edge of the ocean staring out, until someone shouting startles her. The strange yellow skinned woman turns around and realizes it is Dan Smallwood. He rushes up to her bringing her a brooch, he tells her he thinks there has been a signal. Marrina is puzzled as she thought Alpha Flight was no more, but agrees something must be amiss as the stone still pulses. She strips off her clothes revealing a green swimsuit of sorts underneath, and dives into the rugged ocean. While Dan looks on, worried about what may happen to her, and what he would do if something did. The Great Forests of Northern British Columbia. Dr. Walter Langkowski enjoys a pastime hiking, when he receives the signal also. A former grid-iron star he acts instinctively charging forward, stripping his clothes as he goes, and begins the transformation - from man into monster – Sasquatch. The doctor also thinks to himself how painless this recent transformation was, that his body chemistry must finally be adapting. Resolute Bay. An Ookpik (arctic owl) flies through the sky, however, as the bird moves closer to the strange lights that swirl above the shape on the ground, it too changes shape, into that of a beautiful female humanoid shape, though not the creature’s true form. She is Snowbird, her metamorphic powers are but one of many gifts the demi-goddess possesses. Snowbird invokes her mother, Nelvanna, to give her the strength she will need to battle here, as she senses the energies of her ancient enemy. Narya worries as she realizes the strange shape on the ground will become Tundra, the Great Beast who imprisoned the Northern Gods beyond Earth's realm. If they could not stop Tundra, how could she? Snowbird observes the human agent, whose decayed form lays scarred into the landscape, and whose life-force has been consumed, igniting the spark that will give soul to the Beast. It begins. The rough shape that was drawn into the land begins to rise, out of the tundra that it is. It arises, enormous, and curses its ancient enemies. Meanwhile the captain of the Weather ship, Tango Delta Nine, discusses, with a crewmate, a sudden anomaly that appeared on the radar - moving at eight hundred knots. The captain is in disbelief - no ship could move that fast. His crewman replies saying that it is not a ship, but organic....""It"" is in fact Marrina. She moves through the ice cold depths with ease, and though her speed is extremely fast, she turns up at a 90 degree angle and leaves the ocean - on a water spout, which towers above the Tango Delta Nine. Northstar and Aurora are flying en route to Resolute Bay. Aurora wants to play games with her brother and go faster, but Northstar tells her to conserve her strength, as they do not know what lies ahead. Aurora tells her brother that he is too cautious and that she must be allowed to fly and be free. Northstar calls her Jeanne-Marie - and Aurora",,,,,,,,,,"{""series"":""Alpha Flight"",""volume"":""1"",""edition"":""Issue 1"",""cover_date"":""1983-08-01"",""issue_number"":""1"",""provider_issue_id"":""37008""}",,1,7,cwa_opds,1,2026-03-11T15:58:54.553Z,2026-04-22T06:01:00.985Z,,,,,,,"[""digital""]",,,,,,,0,0,false,
5025,Alpha Flight #100: Decisions of Trust,comic_book,,1991-09-01T00:00:00.000Z,1991,Digital,,,,,,movie,https://metron.cloud/issue/alpha-flight-1983-100/,https://static.metron.cloud/media/issue/2021/08/26/alpha-flight-100.jpg,,,,,,,,,,,,"{""series"":""Alpha Flight"",""volume"":""1"",""edition"":""Issue 100"",""publisher"":""Marvel"",""cover_date"":""1991-09-01"",""issue_number"":""100"",""provider_issue_id"":""37146""}",,1,7,metron,1,2026-03-13T22:54:41.298Z,2026-04-06T06:35:42.527Z,,,,,,,"[""digital""]",,,,,,,0,0,false,
5026,Alpha Flight #101: Death and How to Live It,comic_book,,1991-10-01T00:00:00.000Z,1991,Digital,,,,,,movie,https://metron.cloud/issue/alpha-flight-1983-101/,https://static.metron.cloud/media/issue/2021/08/26/alpha-flight-101.jpg,,,,,,,,,,,,"{""series"":""Alpha Flight"",""volume"":""1"",""edition"":""Issue 101"",""publisher"":""Marvel"",""cover_date"":""1991-10-01"",""issue_number"":""101"",""provider_issue_id"":""37147""}",,1,7,metron,1,2026-03-13T22:54:44.471Z,2026-04-06T06:35:42.527Z,,,,,,,"[""digital""]",,,,,,,0,0,false,
5027,"Alpha Flight #102: El Equipo Primero!, Part One",comic_book,,1991-11-01T00:00:00.000Z,1991,Digital,,,,,,movie,https://metron.cloud/issue/alpha-flight-1983-102/,https://static.metron.cloud/media/issue/2021/08/26/alpha-flight-102.jpg,,,,,,,,,,,,"{""series"":""Alpha Flight"",""volume"":""1"",""edition"":""Issue 102"",""publisher"":""Marvel"",""cover_date"":""1991-11-01"",""issue_number"":""102"",""provider_issue_id"":""37148""}",,1,7,metron,1,2026-03-13T22:54:47.388Z,2026-04-06T06:35:42.527Z,,,,,,,"[""digital""]",,,,,,,0,0,false,
5028,"Alpha Flight #103: El Equipo Primero!, Part 2: Spontaneous Combustion",comic_book,,1991-12-01T00:00:00.000Z,1991,Digital,,,,,,movie,https://metron.cloud/issue/alpha-flight-1983-103/,https://static.metron.cloud/media/issue/2021/08/26/alpha-flight-103.jpg,,,,,,,,,,,,"{""series"":""Alpha Flight"",""volume"":""1"",""edition"":""Issue 103"",""publisher"":""Marvel"",""cover_date"":""1991-12-01"",""issue_number"":""103"",""provider_issue_id"":""37149""}",,1,7,metron,1,2026-03-13T22:54:50.300Z,2026-04-06T06:35:42.527Z,,,,,,,"[""digital""]",,,,,,,0,0,false,
5029,Alpha Flight #104: Headache,comic_book,,1992-01-01T00:00:00.000Z,1992,Digital,,,,,,movie,https://metron.cloud/issue/alpha-flight-1983-104/,https://static.metron.cloud/media/issue/2021/08/26/alpha-flight-104.jpg,,,,,,,,,,,,"{""series"":""Alpha Flight"",""volume"":""1"",""edition"":""Issue 104"",""publisher"":""Marvel"",""cover_date"":""1992-01-01"",""issue_number"":""104"",""provider_issue_id"":""37150""}",,1,7,metron,1,2026-03-13T22:54:56.465Z,2026-04-06T06:35:42.527Z,,,,,,,"[""digital""]",,,,,,,0,0,false,
5030,Alpha Flight #105: The Bachelor Party!,comic_book,,1992-02-01T00:00:00.000Z,1992,Digital,,,,,,movie,https://metron.cloud/issue/alpha-flight-1983-105/,https://static.metron.cloud/media/issue/2021/08/26/alpha-flight-105.jpg,,,,,,,,,,,,"{""series"":""Alpha Flight"",""volume"":""1"",""edition"":""Issue 105"",""publisher"":""Marvel"",""cover_date"":""1992-02-01"",""issue_number"":""105"",""provider_issue_id"":""37151""}",,1,7,metron,1,2026-03-13T22:54:59.309Z,2026-04-06T06:35:42.527Z,,,,,,,"[""digital""]",,,,,,,0,0,false,
5031,Alpha Flight #106: The Walking Wounded,comic_book,,1992-03-01T00:00:00.000Z,1992,Digital,,,,,,movie,https://metron.cloud/issue/alpha-flight-1983-106/,https://static.metron.cloud/media/issue/2021/08/26/alpha-flight-106.jpg,,Northstar as you’ve never known him before!,,,,,,,,,,"{""series"":""Alpha Flight"",""volume"":""1"",""edition"":""Issue 106"",""publisher"":""Marvel"",""cover_date"":""1992-03-01"",""issue_number"":""106"",""provider_issue_id"":""37152""}",,1,7,metron,1,2026-03-13T22:55:04.388Z,2026-04-06T06:35:42.527Z,,,,,,,"[""digital""]",,,,,,,0,0,false,
5032,Alpha Flight #107: Rage Against the Dying of the Light!,comic_book,,1992-04-01T00:00:00.000Z,1992,Digital,,,,,,movie,https://metron.cloud/issue/alpha-flight-1983-107/,https://static.metron.cloud/media/issue/2021/08/26/alpha-flight-107.jpg,,,,,,,,,,,,"{""series"":""Alpha Flight"",""volume"":""1"",""edition"":""Issue 107"",""publisher"":""Marvel"",""cover_date"":""1992-04-01"",""issue_number"":""107"",""provider_issue_id"":""37153""}",,1,7,metron,1,2026-03-13T22:55:06.047Z,2026-04-06T06:35:42.527Z,,,,,,,"[""digital""]",,,,,,,0,0,false,
