id,title,media_type,original_title,release_date,year,format,genre,director,rating,user_rating,tmdb_id,tmdb_media_type,tmdb_url,poster_path,backdrop_path,overview,trailer_url,runtime,upc,location,notes,season_number,episode_number,episode_title,network,type_details,series_id,space_id,library_id,import_source,added_by,created_at,updated_at,signed_by,signed_role,signed_on,signed_at,signed_proof_path,cast_members,owned_formats,estimated_value_low,estimated_value_mid,estimated_value_high,valuation_currency,valuation_source,valuation_last_updated,tv_season_count,tv_completed_season_count,tv_all_seasons_completed,cast
7547,Action Girlz Racing,game,Action Girlz Racing - Nintendo Wii,2008-01-16T00:00:00.000Z,2008,Digital,Racing,Conspiracy,,,,movie,https://www.igdb.com/games/action-girlz-racing,https://images.igdb.com/igdb/image/upload/t_cover_big/co4ahz.jpg,,"Action Girlz Racing puts you in the driving seat in a completely new and wonderful way! For the first time ever you can pick your favorite Action Girl and take to the roads to race around fairy-tale castles, holiday resorts and even through school corridors while the teachers aren't looking! Best of all are the Action Girlz themselves. Meet Kat, an action girl with no fear - she will take anything on! Latisha is so cool you have to check her for a pulse - nothing riles this girl! Bianca is all about being a professional - she has it all! The 'Action Girlz' are here, so grab your lipstick, start your engines and get ready to race!",,,0815315000542,,Edition: Standard | Platform: Nintendo Wii,,,,,"{""platform"":""Nintendo Wii"",""developer"":""Data Design Interactive""}",,1,7,csv_delicious,1,2026-04-12T17:46:37.925Z,2026-04-12T17:46:37.925Z,,,,,,,"[""digital""]",,,,,,,0,0,false,
7550,Agents of Mayhem,game,Agents of Mayhem - PlayStation 4,2017-08-15T00:00:00.000Z,2017,Digital,"Shooter, Adventure",Deep Silver,,,,movie,https://www.igdb.com/games/agents-of-mayhem,https://images.igdb.com/igdb/image/upload/t_cover_big/co22mh.jpg,,"Agents of Mayhem is the new open world game from Volition, the studio that brought you the Saints Row franchise. Play as a cast of unique and diverse Super Agents from all over the world, and lead them in MAYHEM’s epic fight to save the city of Seoul from the destructive schemes of the evil supervillain organization LEGION!",,,0816819013625,,Edition: Standard | Platform: PlayStation 4,,,,,"{""platform"":""PlayStation 4"",""developer"":""Deep Silver""}",,1,7,csv_delicious,1,2026-04-12T17:47:00.533Z,2026-04-12T17:47:00.533Z,,,,,,,"[""digital""]",,,,,,,0,0,false,
7497,Alita: Battle Angel Limited Edition Steelbook,game,,2019-02-25T00:00:00.000Z,2019,Blu-ray,"Role-playing (RPG), Hack and slash/Beat 'em up",AantnaSR,,,,movie,https://www.igdb.com/games/alita-battle-angel-the-game,https://images.igdb.com/igdb/image/upload/t_cover_big/co84n0.jpg,,"Under the shadow of the last great city in the sky, prepare to set off through the streets of Iron City and get ready for an epic adventure six-hundred years in the making…

Alita: Battle Angel - The Game is the official game based on the all-new theatrical film produced by James Cameron and Jon Landau and directed by Robert Rodriguez. It’s a high-octane cyberpunk MMORPG mobile game that allows players to experience all the action, emotion, locations, weapons, and characters from the movie!

Lost in the labyrinthine streets of Iron City, join forces with the heroine Alita, cyborg jacker Hugo and their friends in an effort to stop the power-hungry forces of The Factory.

Alita: Battle Angel – The Game provides both PvE and PVP game modes alongside an innovative gameplay narrative told within the story of the Alita movie! Enhance your character with cyborg upgrades, gather your crew and hit the streets – Alita: Battle Angel – The Game is waiting!

Features:
PVE and PVP Gameplay
- Face a variety of challenges, and gameplay modes from the movie.

Personalized Outfits
- Choose from numerous weapons, gear and cybernetic upgrades to customize the look of your player character.

Powerful Hunter Warriors
- Hunter Warriors are the police and bounty hunters of Iron City and can be hired to assist you in battle. Team up and choose your tactics wisely so you can bring down the mightiest enemies.

Stunning graphics and special effects
- With stunning, high-quality action and graphics – this game is built to showcase the incredible detail, depth and scale of the world of Alita Battle Angel.

As Alita would say — “Do not stand by, in the presence of Evil!” Join players around the world as you prepare for the battle of your lives!",,,0024543632177,,Edition: Limited Edition,,,,,"{""platform"":""Android, iOS"",""developer"":""FoxNext Games""}",,1,7,csv_delicious,1,2026-04-12T17:26:18.173Z,2026-04-12T17:42:49.256Z,,,,,,,[],,,,,,,0,0,false,
7498,All Star Baseball 2004,game,,2003-02-28T00:00:00.000Z,2003,Digital,"Simulator, Sport",Acclaim,,,,movie,https://www.igdb.com/games/all-star-baseball-2004,https://images.igdb.com/igdb/image/upload/t_cover_big/co6dlj.jpg,,"The 2004 installment in Acclaim's long-running baseball series. The game features more than 80 new features and improvements, including a deeper, more customizable franchise mode. The biggest change comes in the interface. You still hit the same buttons to swing, bunt, steal, and field, but the batting cursor has been visually altered. It's still the same triangle shape as before, just with a different outline. Bunting is more unique, though. Instead of aiming the cursor when you go to bunt, a large arrow points on the ground. Aim your bunt in the desired direction and hope for the best. Fielding has also received a slight change, with the ball cursor changing color. Four up to four players.",,,0021481403128,,Edition: Standard | Platform: Xbox,,,,,"{""platform"":""Xbox"",""developer"":""Acclaim Studios Austin""}",,1,7,csv_delicious,1,2026-04-12T17:26:20.940Z,2026-04-12T17:42:54.545Z,,,,,,,"[""digital""]",,,,,,,0,0,false,
7543,American Idol,game,,2003-11-07T00:00:00.000Z,2020,Digital,Music,Codemasters,,,,movie,https://www.igdb.com/games/american-idol,https://images.igdb.com/igdb/image/upload/t_cover_big/co25b8.jpg,,"Complete with a computer generated Randy Jackson, Paula Abdul, and Simon Cowell, with trademark insults, American Idol is a music-based, rhythm-action game that will allow you to create, style, and train a contestant for the competition. Once styled and trained you'll see your contestant progress through the auditions, various heats, and then, hopefully, make it to the grand final. You'll need quick fingers as you match the right combination of buttons to what's displayed on the screen helping your contestant sing a sweet harmony and dance to the rhythm of the song. Get it wrong and your voice fades and goes out of tune as the judges and later the audience grow unsettled.",,,,,Edition: Standard,,,,,"{""platform"":""PC (Microsoft Windows), PlayStation 2"",""developer"":""Mobius Entertainment""}",,1,7,csv_delicious,1,2026-04-12T17:46:30.819Z,2026-04-12T17:46:30.819Z,,,,,,,"[""digital""]",,,,,,,0,0,false,
7554,Anthem,game,Anthem - PlayStation 4,2019-02-22T00:00:00.000Z,2023,Digital,"Shooter, Role-playing (RPG), Adventure",Electronic Arts,,,,movie,https://www.igdb.com/games/anthem,https://images.igdb.com/igdb/image/upload/t_cover_big/co2n94.jpg,,"Anthem is a shared-world action RPG, where players can delve into a vast landscape teeming with amazing technology and forgotten treasures. This is a world where Freelancers are called upon to defeat savage beasts, ruthless marauders, and forces plotting to conquer humanity.",,,0014633369960,,Edition: Standard | Platform: PlayStation 4,,,,,"{""platform"":""PlayStation 4"",""developer"":""Electronic Arts""}",,1,7,csv_delicious,1,2026-04-12T17:47:26.706Z,2026-04-12T17:47:26.706Z,,,,,,,"[""digital""]",,,,,,,0,0,false,
7480,Army Men Sarges War - Gamecube,game,Army Men Sarges War - Gamecube,2007-03-26T00:00:00.000Z,2007,Digital,Shooter,2K,,,,movie,https://www.igdb.com/games/army-men-sarge-s-war,https://images.igdb.com/igdb/image/upload/t_cover_big/co45jc.jpg,,"Army Men: Sarge's War is a 2004 game in the Army Men video game series. It was initially developed by series creator The 3DO Company but after that company's bankruptcy was purchased and completed by Global Star Software. The game is more mature and darker than earlier games in the series. Sarge makes no comical moves, holes are blown into soldiers, and the weapons are also made of metal.",,,0710425245480,,Platform: Nintendo GameCube,,,,,"{""platform"":""Nintendo GameCube"",""developer"":""Global Star Software""}",,1,7,csv_delicious,1,2026-04-12T17:25:19.711Z,2026-04-12T17:42:09.517Z,,,,,,,"[""digital""]",,,,,,,0,0,false,
7555,Army of Two: Platinum Hits,game,Army of Two: Platinum Hits - Xbox 360,2008-03-05T00:00:00.000Z,2008,Digital,"Shooter, Tactical",Electronic Arts,,,,movie,https://www.igdb.com/games/army-of-two,https://images.igdb.com/igdb/image/upload/t_cover_big/co5x88.jpg,,"Army Of Two throws gamers into hot spots ripped from current day headlines where they will utilize unique two-man strategies and tactics while seamlessly transitioning between playing with intelligent Partner AI (PAI) and a live player. When one man is not enough, it will take an army of two to fight through war, political turmoil and a conspiracy so vast it threatens the entire world",,,0014633157512,,Edition: Standard | Platform: Xbox 360,,,,,"{""platform"":""Xbox 360"",""developer"":""EA Montreal""}",,1,7,csv_delicious,1,2026-04-12T17:47:28.917Z,2026-04-12T17:47:28.917Z,,,,,,,"[""digital""]",,,,,,,0,0,false,
7556,Army of Two: The 40th Day,game,Army of Two: The 40th Day - Xbox 360,2010-01-12T00:00:00.000Z,2010,Digital,"Shooter, Tactical",Electronic Arts,,,,movie,https://www.igdb.com/games/army-of-two-the-40th-day,https://images.igdb.com/igdb/image/upload/t_cover_big/co2n8d.jpg,,"The wild boys of the SSC face hell again in this sequel to the hit third-person teamwork-based shooter. Army of Two: The 40th Day reunites Salem and Rios as they're forced to survive in a city under siege. The sequel includes more co-op moves for players to use at any time, which will allow for completely different strategies and options in battle, adding up to a bigger, more organic and immersive co-op experience.

The story of The 40th Day places Salem and Rios in the middle of Shanghai, China, as a disaster of epic proportions strikes the city. While they happen to be in the wrong place at the wrong time, they are the right men to react to the chaos. As they fight their way through ruined districts of the city, they discover more and more catastrophes are being orchestrated to devastate Shanghai piece by piece. It's up two Salem and Rios to uncover the secret of the 40th Day and survive the chaos.",,,0014633193794,,Edition: Standard | Platform: Xbox 360,,,,,"{""platform"":""Xbox 360"",""developer"":""Electronic Arts""}",,1,7,csv_delicious,1,2026-04-12T17:47:30.019Z,2026-04-12T17:47:30.019Z,,,,,,,"[""digital""]",,,,,,,0,0,false,
7557,Battlefield 2 Modern Combat,game,Battlefield 2 Modern Combat - Xbox,2005-10-24T00:00:00.000Z,2005,Digital,Shooter,Electronic Arts,,,,movie,https://www.igdb.com/games/battlefield-2-modern-combat,https://images.igdb.com/igdb/image/upload/t_cover_big/co1ot4.jpg,,Battlefield 2: Modern Combat is the fourth installment in the Battlefield Series and was developed by DICE and published by EA. It is a console spin-off of the critically acclaimed Battlefield 2 for the PC.,,,0014633148589,,Edition: Standard | Platform: Xbox,,,,,"{""platform"":""Xbox"",""developer"":""Electronic Arts""}",,1,7,csv_delicious,1,2026-04-12T17:47:31.120Z,2026-04-12T17:47:31.120Z,,,,,,,"[""digital""]",,,,,,,0,0,false,
