id,title,media_type,original_title,release_date,year,format,genre,director,rating,user_rating,tmdb_id,tmdb_media_type,tmdb_url,poster_path,backdrop_path,overview,trailer_url,runtime,upc,location,notes,season_number,episode_number,episode_title,network,type_details,series_id,space_id,library_id,import_source,added_by,created_at,updated_at,signed_by,signed_role,signed_on,signed_at,signed_proof_path,cast_members,owned_formats,estimated_value_low,estimated_value_mid,estimated_value_high,valuation_currency,valuation_source,valuation_last_updated,tv_season_count,tv_completed_season_count,tv_all_seasons_completed,cast
2518,'Twas the Night Before Christmas,movie,,1974-12-08T00:00:00.000Z,1974,Digital,,Jules Bass,7.1,,26547,movie,https://www.themoviedb.org/movie/26547,/i5qPfBSeKjNbFPl1CseOUSNqKGe.jpg,/qkMUH7xH6q8wIlfvefl1MArI9h5.jpg,"One Christmas season, the human and mouse citizens of a small town get their letters to Santa unceremoniously returned, with a message that the town has been removed from Santa's delivery itinerary because of a letter from someone in that town that insulted him by dismissing his existence. While Father Mouse confronts his cynical son Albert, the letter's writer, their human companions, a clockmaker and his family, work to regain Mr. Claus' favor.",,24,,,Imported from Plex section 1,,,,Rankin/Bass Productions,,,1,7,plex,1,2026-03-08T05:43:02.086Z,2026-04-20T05:29:32.804Z,,,,,,"Joel Grey, George Gobel, Tammy Grimes, John McGiver, Patricia Bright, Scott Firestone, Christine Winter, Allen Swift","[""digital""]",,,,,,,0,0,false,"Joel Grey, George Gobel, Tammy Grimes, John McGiver, Patricia Bright, Scott Firestone, Christine Winter, Allen Swift"
2,1,movie,Gorkha Protector,2012-07-01T00:00:00.000Z,2021,DVD,Drama,Akash Adhikari,6.6,,747574,movie,https://www.themoviedb.org/movie/747574,/rKjjlKcdiU9qSPjzUqpyRWknI0o.jpg,,"Martial arts sensation Shuny Bee strikes the city of Kathmandu as the Gorkha Protector, to stop the human trafficking of young innocent girls. Although it is a fiction movie, it is based on what is happening in real life situations for a long time in country of Nepal. He pledges to bring an end to this evil vice that has plagued his hometown.",,80,0889290029546,,Edition: DVD-R,,,,,"{""edition"":""DVD-R""}",,1,7,csv_delicious,1,2026-03-08T04:38:12.533Z,2026-04-12T17:39:45.223Z,,,,,,"Shuny Bee, Rekha Thapa, Shiva Shrestha, Yuvaraj Lama, Samrat Sapkota, Robert Madrigal, Ram Krishna Bajagain, Shangah Ratan","[""dvd""]",,,,,,,0,0,false,"Shuny Bee, Rekha Thapa, Shiva Shrestha, Yuvaraj Lama, Samrat Sapkota, Robert Madrigal, Ram Krishna Bajagain, Shangah Ratan"
5084,1,movie,101 Reykjavík,2000-05-31T00:00:00.000Z,2000,VHS,,Baltasar Kormákur,6.1,,10989,movie,https://www.themoviedb.org/movie/10989,/4zKQ9Wz68tLQ4WGirHDNXR1NdLf.jpg,/8frHHdHniGX5tQrlXAOZDIHhD1z.jpg,A 30-year-old slacker who lives with his mother finds his life turned upside down when his mother's flamenco-dancing friend moves in.,https://www.youtube.com/watch?v=k6T0snTFmsg,88,0099096120136,,Edition: Collector's Edition,,,,,"{""edition"":""Collector's Edition""}",,1,7,csv_delicious,1,2026-03-13T22:57:43.073Z,2026-04-06T06:35:42.527Z,,,,,,"Victoria Abril, Hilmir Snær Guðnason, Hanna María Karlsdóttir, Þrúður Vilhjálmsdóttir, Þröstur Leó Gunnarsson, Ólafur Darri Ólafsson, Gudmundur Thorvaldsson, Baltasar Kormákur","[""vhs""]",,,,,,,0,0,false,"Victoria Abril, Hilmir Snær Guðnason, Hanna María Karlsdóttir, Þrúður Vilhjálmsdóttir, Þröstur Leó Gunnarsson, Ólafur Darri Ólafsson, Gudmundur Thorvaldsson, Baltasar Kormákur"
571,100 Million BC,movie,100 Million BC,2008-07-29T00:00:00.000Z,2023,DVD,,Griff Furst,3.4,,16123,movie,https://www.themoviedb.org/movie/16123,/d3UhLesWQ7FqJYqVl1DjS98kesD.jpg,/dLpw2xhynDjzcQAaaWVOt5WNSeS.jpg,"A scientist from the failed Philadelphia Experiment leads a team of Navy SEALs back in time to the Cretaceous Period to rescue the first team he sent back during the 1940s. Things go wildly awry though, when on his return he accidentally brings a giant, man-eating dinosaur back through the portal and into modern-day, downtown Los Angeles.",https://www.youtube.com/watch?v=j4z2PBMW1mY,85,0686340212534,,,,,,,,,1,7,csv_delicious,1,2026-03-08T04:47:39.514Z,2026-04-12T17:49:12.053Z,,,,,,"Michael Gross, Christopher Atkins, Greg Evigan, Marie Westbrook, Phil Burke, Wendy Carter, Geoff Meed, Stephen Blackehart","[""dvd""]",,,,,,,0,0,false,"Michael Gross, Christopher Atkins, Greg Evigan, Marie Westbrook, Phil Burke, Wendy Carter, Geoff Meed, Stephen Blackehart"
3178,101 Dalmatians,movie,One Hundred and One Dalmatians,1961-01-25T00:00:00.000Z,1961,Digital,,Hamilton Luske,9.8,,12230,movie,https://www.themoviedb.org/movie/12230,/kSlYq6FrBUviGSEh8v4L9nrSnBT.jpg,/cZgUATpU4NDlsfGj7sRriKJEiLB.jpg,"Pongo and Perdita have a litter of 15 puppies. Cruella De Vil takes a fancy to the pups, and wants to get hold of them, as well as more pups, to make herself a lovely Dalmatian skin coat. Cruella hires some thugs to kidnap the pups and hold them at her mansion. Pongo and Perdita enlist the help of the local dogs London to find and rescue them.",,77,,,Imported from Plex section 1,,,,Walt Disney Productions,"{""edition"":""Theatrical""}",,1,7,plex,1,2026-03-08T07:25:27.449Z,2026-04-20T05:27:05.827Z,,,,,,"Rod Taylor, J. Pat O'Malley, Betty Lou Gerson, Martha Wentworth, Ben Wright, Cate Bauer, David Frankham, Frederick Worlock","[""digital""]",,,,,,,0,0,false,"Rod Taylor, J. Pat O'Malley, Betty Lou Gerson, Martha Wentworth, Ben Wright, Cate Bauer, David Frankham, Frederick Worlock"
5,1974: The Possession of Altair,movie,The Godfather Part II,1974-12-20T00:00:00.000Z,2021,Blu-ray,"Mystery, Horror, Science Fiction",Francis Ford Coppola,8.6,,240,movie,https://www.themoviedb.org/movie/240,/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,/kGzFbGhp99zva6oZODW5atUtnqi.jpg,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",https://www.youtube.com/watch?v=9O1Iy9od7-A,202,,,,,,,,"{""edition"":""Theatrical""}",,1,7,csv_delicious,1,2026-03-08T04:38:14.674Z,2026-04-12T17:39:47.465Z,,,,,,"Al Pacino, Robert Duvall, Diane Keaton, Robert De Niro, John Cazale, Talia Shire, Lee Strasberg, Michael V. Gazzo","[""bluray""]",,,,,,,0,0,false,"Al Pacino, Robert Duvall, Diane Keaton, Robert De Niro, John Cazale, Talia Shire, Lee Strasberg, Michael V. Gazzo"
1442,2001: A Space Odyssey,movie,,1968-04-11T00:00:00.000Z,1968,Digital,,Stanley Kubrick,9.0,,62,movie,https://www.themoviedb.org/movie/62,/ve72VxNqjGM69Uky4WTo2bK6rfq.jpg,/30XRuUQGk5P9XB6mlfEF1eoWFgq.jpg,"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins.",,149,,,Imported from Plex section 1,,,,Stanley Kubrick Productions,,,1,7,plex,1,2026-03-08T05:38:44.943Z,2026-04-20T05:27:06.206Z,,,,,,"Keir Dullea, Gary Lockwood, William Sylvester, Douglas Rain, Daniel Richter, Leonard Rossiter, Margaret Tyzack, Robert Beatty","[""digital""]",,,,,,,0,0,false,"Keir Dullea, Gary Lockwood, William Sylvester, Douglas Rain, Daniel Richter, Leonard Rossiter, Margaret Tyzack, Robert Beatty"
1443,2050,movie,,2019-04-21T00:00:00.000Z,2019,Digital,,Princeton Holt,,,583911,movie,https://www.themoviedb.org/movie/583911,/cSKXdkm38HIMsZZNYJDIOtfOV9B.jpg,/eoc2P3qH6CkDX56c68PZaDZ6Xnb.jpg,The future has come and it seems cold-callers are not just a thing of the past and they are just as unwelcome.,,107,,,Imported from Plex section 1,,,,Kulik Production,,,1,7,plex,1,2026-03-08T05:38:45.149Z,2026-04-20T05:27:06.352Z,,,,,,"Dean Cain, David Vaughn, Irina Abraham, Devin Fuller, Stormi Maya, Stefanie Bloom, Jace Nicole, Shannone Holt","[""digital""]",,,,,,,0,0,false,"Dean Cain, David Vaughn, Irina Abraham, Devin Fuller, Stormi Maya, Stefanie Bloom, Jace Nicole, Shannone Holt"
1444,2081,movie,2081,2009-05-29T00:00:00.000Z,2009,Digital,"Action, Science Fiction, Thriller",Chandler Tuttle,6.4,,35568,movie,https://www.themoviedb.org/movie/35568,/1XgUu6HPYONV9AVe73NgSmqFZv1.jpg,/1XgUu6HPYONV9AVe73NgSmqFZv1.jpg,"2081 depicts a dystopian future in which, thanks to the 212th Amendment to the Constitution and the unceasing vigilance of the United States Handicapper General, everyone is ""finally equal...."" The strong wear weights, the beautiful wear masks and the intelligent wear earpieces that fire off loud noises to keep them from taking unfair advantage.",,26,,,Imported from Plex section 1,,,,Moving Picture Institute,"{""edition"":""Theatrical""}",,1,7,plex,1,2026-03-08T05:38:45.309Z,2026-04-20T05:27:06.576Z,,,,,,"James Cosmo, Julie Hagerty, Armie Hammer, Patricia Clarkson, James C. Burns, Yuris Skujins, David Healy, Alina Faye","[""digital""]",,,,,,,0,0,false,"James Cosmo, Julie Hagerty, Armie Hammer, Patricia Clarkson, James C. Burns, Yuris Skujins, David Healy, Alina Faye"
271,24 Hours to Midnight,movie,24 Hours to Midnight,1985-01-01T00:00:00.000Z,1985,Digital,,Leo Fong,3.7,,30042,movie,https://www.themoviedb.org/movie/30042,/7WZfiT5PjRZxy3FUlx7DuDuPwe3.jpg,/zhLiYho6fzKlTdmdqFOOfpEb0in.jpg,A woman trained in Ninjutsu takes revenge after her husband is killed while out jogging.,,91,,,,,,,,,,1,7,csv_delicious,1,2026-03-08T04:42:17.441Z,2026-04-12T17:43:49.872Z,,,,,,"Bernie Pock, Myra, Cynthia Rothrock, Stack Pierce, Leo Fong, Steve Quimby, Stephen Moore, Kenneth Walshman","[""digital""]",,,,,,,0,0,false,"Bernie Pock, Myra, Cynthia Rothrock, Stack Pierce, Leo Fong, Steve Quimby, Stephen Moore, Kenneth Walshman"
