id,title,media_type,original_title,release_date,year,format,genre,director,rating,user_rating,tmdb_id,tmdb_media_type,tmdb_url,poster_path,backdrop_path,overview,trailer_url,runtime,upc,location,notes,season_number,episode_number,episode_title,network,type_details,series_id,space_id,library_id,import_source,added_by,created_at,updated_at,signed_by,signed_role,signed_on,signed_at,signed_proof_path,cast_members,owned_formats,estimated_value_low,estimated_value_mid,estimated_value_high,valuation_currency,valuation_source,valuation_last_updated,tv_season_count,tv_completed_season_count,tv_all_seasons_completed,cast
3808,1670,tv_series,,2023-12-13T00:00:00.000Z,2023,Digital,,,,,236450,tv,https://www.themoviedb.org/tv/236450,/sMPLjSZYJEeeXfxeKQ7Ct7SEYuV.jpg,/AfhDPw3x2WfMTfszcAVhngRWlA2.jpg,"In this satirical comedy, a zany nobleman navigates through family feuds and clashes with peasants in his quest to become Poland's most famous figure.",,30,,,Imported from Plex section 2,,,,Akson Studio,,,1,7,plex,1,2026-03-08T16:47:34.272Z,2026-04-20T05:29:43.325Z,,,,,,"Bartłomiej Topa, Katarzyna Herman, Kirył Pietruczuk, Martyna Byczkowska, Michał Sikorski, Dobromir Dymecki","[""digital""]",,,,,,,1,1,true,"Bartłomiej Topa, Katarzyna Herman, Kirył Pietruczuk, Martyna Byczkowska, Michał Sikorski, Dobromir Dymecki"
3809,Abraham Lincoln,tv_series,,2022-02-20T00:00:00.000Z,2022,Digital,,Malcolm Venville,,,156095,tv,https://www.themoviedb.org/tv/156095,/nzlh2iEf5DnjeyBMrXFl1Dhi18B.jpg,/xZpDIxpYH8lXflwjyYtrMPfzRdk.jpg,The true story of America's iconic 16th president as told by weaving together both scripted dramatizations of important moments in his life and commentary by authoritative historians and public figures.,,102,,,Imported from Plex section 2,,,,History,,,1,7,plex,1,2026-03-08T16:47:34.472Z,2026-04-20T05:29:43.667Z,,,,,,"Graham Sibley, André Jacobs, Jenny Stead, Colin Moss, Luke Tyler, Stefan Adegbola, Edward J. Pepperell, Doris Kearns Goodwin","[""digital""]",,,,,,,1,1,true,"Graham Sibley, André Jacobs, Jenny Stead, Colin Moss, Luke Tyler, Stefan Adegbola, Edward J. Pepperell, Doris Kearns Goodwin"
3810,The Acolyte,tv_series,,2024-06-04T00:00:00.000Z,2024,Digital,,Megan Lynas,,,114479,tv,https://www.themoviedb.org/tv/114479,/fW2nOB5EXEOh64qufAxeW4AU3AB.jpg,/kwronSXO1ogMqHHFvY2eBxfFLdn.jpg,"An investigation into a shocking crime spree pits a respected Jedi Master against a dangerous warrior from his past. As more clues emerge, they travel down a dark path where sinister forces reveal all is not what it seems…",,40,,,Imported from Plex section 2,,,,Lucasfilm Ltd.,,,1,7,plex,1,2026-03-08T16:47:34.664Z,2026-04-20T05:29:43.924Z,,,,,,"Amandla Stenberg, Lee Jung-jae","[""digital""]",,,,,,,1,1,true,"Amandla Stenberg, Lee Jung-jae"
3811,After Life,tv_series,,2019-03-08T00:00:00.000Z,2019,Digital,,,,,79410,tv,https://www.themoviedb.org/tv/79410,/6eJf4h9XcvqK64vbx27EFlLVURm.jpg,/AeVleqwWBMkiliVw6lFZICTTMiO.jpg,"Tony's life is turned upside-down after his wife dies of breast cancer. He contemplates suicide, but instead decides to live long enough to punish the world for his wife's death by saying and doing whatever he wants. Although he thinks of this as his ""superpower,"" his plan is undermined when everyone around him tries to make him a better person.",,30,,,Imported from Plex section 2,,,,Derek Productions,,,1,7,plex,1,2026-03-08T16:47:34.848Z,2026-04-20T05:29:44.217Z,,,,,,"Ricky Gervais, Tom Basden, Kerry Godliman, David Bradley, Joe Wilkinson, Tony Way, Diane Morgan, Ashley Jensen","[""digital""]",,,,,,,3,3,true,"Ricky Gervais, Tom Basden, Kerry Godliman, David Bradley, Joe Wilkinson, Tony Way, Diane Morgan, Ashley Jensen"
3812,Afterlost: Where I End and You Begin,tv_series,消滅都市,2019-04-07T00:00:00.000Z,2019,Digital,,Shigeyuki Miya,,,87457,tv,https://www.themoviedb.org/tv/87457,/v7rHqk0UVHoRUcwJVFFMU1rW4Ab.jpg,/qiRMypnA64rwDGjy3nBamB4eMAi.jpg,"A town is erased from space, and the survivors of the event investigate to find out what happened.",,24,,,Imported from Plex section 2,,,,Madhouse,,,1,7,plex,1,2026-03-08T16:47:35.058Z,2026-04-20T05:29:44.583Z,,,,,,"Taisuke Nishimura, Hina Suguta, Haruka Shamoto, Aguri Oonishi, Hikari Sonoyama, Masaki Terasoma, Hidenori Takahashi, Yoshitsugu Matsuoka","[""digital""]",,,,,,,1,1,true,"Taisuke Nishimura, Hina Suguta, Haruka Shamoto, Aguri Oonishi, Hikari Sonoyama, Masaki Terasoma, Hidenori Takahashi, Yoshitsugu Matsuoka"
3813,Agatha All Along,tv_series,,2024-09-18T00:00:00.000Z,2024,Digital,,Kelly Port,,,138501,tv,https://www.themoviedb.org/tv/138501,/mGsxKwXUjojitRv2E9qMTbxbBRd.jpg,/tYLXJW1sZQU09VWY1BhSVPKGIwc.jpg,"A spell-bound Agatha Harkness regains freedom thanks to a teen's help. Intrigued by his plea, she embarks on the Witches' Road trials to reclaim her powers and discover the teen's motivations.",,40,,,Imported from Plex section 2,,,,Marvel Studios,,,1,7,plex,1,2026-03-08T16:47:35.259Z,2026-04-20T05:29:44.856Z,,,,,,"Kathryn Hahn, Joe Locke, Sasheer Zamata, Ali Ahn, Debra Jo Rupp, Patti LuPone, Aubrey Plaza","[""digital""]",,,,,,,1,1,true,"Kathryn Hahn, Joe Locke, Sasheer Zamata, Ali Ahn, Debra Jo Rupp, Patti LuPone, Aubrey Plaza"
3814,Agents of S.H.I.E.L.D.,tv_series,Marvel's Agents of S.H.I.E.L.D.,2013-09-24T00:00:00.000Z,2013,Digital,,,,,1403,tv,https://www.themoviedb.org/tv/1403,/gHUCCMy1vvj58tzE3dZqeC9SXus.jpg,/iWopHyAvuIDjGX10Yc3nn6UEebW.jpg,"Agent Phil Coulson of S.H.I.E.L.D. (Strategic Homeland Intervention, Enforcement and Logistics Division) puts together a team of agents to investigate the new, the strange and the unknown around the globe, protecting the ordinary from the extraordinary.",,45,,,Imported from Plex section 2,,,,ABC Studios,,,1,7,plex,1,2026-03-08T16:47:35.457Z,2026-04-20T05:29:45.150Z,,,,,,"Clark Gregg, Chloe Bennet, Elizabeth Henstridge, Ming-Na Wen, Henry Simmons, Natalia Cordova-Buckley, Jeff Ward","[""digital""]",,,,,,,7,7,true,"Clark Gregg, Chloe Bennet, Elizabeth Henstridge, Ming-Na Wen, Henry Simmons, Natalia Cordova-Buckley, Jeff Ward"
3815,Ahsoka,tv_series,,2023-08-23T00:00:00.000Z,2023,Digital,,,,,114461,tv,https://www.themoviedb.org/tv/114461,/eiJeWeCAEZAmRppnXHiTWDcCd3Q.jpg,/31GIcUUcdQPRkVtmdqgQWJMhXj1.jpg,"After the fall of the Galactic Empire, former Jedi Ahsoka Tano investigates an emerging threat to a vulnerable galaxy.",,50,,,Imported from Plex section 2,,,,Lucasfilm Ltd.,,,1,7,plex,1,2026-03-08T16:47:35.733Z,2026-04-20T05:29:45.529Z,,,,,,"Rosario Dawson, Natasha Liu Bordizzo, Ray Stevenson, Ivanna Sakhno, Mary Elizabeth Winstead, Diana Lee Inosanto, David Tennant","[""digital""]",,,,,,,1,1,true,"Rosario Dawson, Natasha Liu Bordizzo, Ray Stevenson, Ivanna Sakhno, Mary Elizabeth Winstead, Diana Lee Inosanto, David Tennant"
3816,Ajin,tv_series,亜人,2016-01-16T00:00:00.000Z,2016,Digital,,Hiroyuki Seshita,,,65292,tv,https://www.themoviedb.org/tv/65292,/fnHBwIKxwrFleSzvHzTqcAzDRM.jpg,/kOQkt6e18Fe5h9qnkd3PmffX7og.jpg,"17 years ago, immortals first appeared on the battlefields of Africa. Later, rare, unknown new immortal lifeforms began appearing among humans, and they became known as ""Ajin"" (demi-humans). Just before summer vacation, a Japanese high school student is instantly killed in a traffic accident on his way home from school. However, he is revived, and a price is placed on his head. Thus begins a boy's life on the run from all of humankind.",,24,,,Imported from Plex section 2,,,,Polygon Pictures,,,1,7,plex,1,2026-03-08T16:47:35.929Z,2026-04-20T05:29:45.869Z,,,,,,"Mamoru Miyano, Yoshimasa Hosoya, Aya Suzaki, Daisuke Hirakawa, Hiroyuki Kinoshita, Hochu Otsuka, Jun Fukuyama, Kenichi Suzumura","[""digital""]",,,,,,,2,2,true,"Mamoru Miyano, Yoshimasa Hosoya, Aya Suzaki, Daisuke Hirakawa, Hiroyuki Kinoshita, Hochu Otsuka, Jun Fukuyama, Kenichi Suzumura"
3817,Alchemy of Souls,tv_series,환혼,2022-06-18T00:00:00.000Z,2022,Digital,,Bae Hyun-jin,,,135157,tv,https://www.themoviedb.org/tv/135157,/gvOZN1NlAoL8iz9ghpES1zWA3w3.jpg,/nBZyWSGAUEzCH7Mna0zUNTpBQlQ.jpg,"Set in a fictional country called Daeho, it is about the love and growth of young mages as they overcome their twisted fates due to a forbidden magic spell known as the ""alchemy of souls"", which allows souls to switch bodies.",,75,,,Imported from Plex section 2,,,,Studio Dragon,,,1,7,plex,1,2026-03-08T16:47:36.132Z,2026-04-20T05:29:46.174Z,,,,,,"Lee Jae-wook, Go Youn-jung, Minhyun, Moon Seong-hyun, Shin Seung-ho, Yu Jun-sang, Oh Na-ra, Yoo In-soo","[""digital""]",,,,,,,2,2,true,"Lee Jae-wook, Go Youn-jung, Minhyun, Moon Seong-hyun, Shin Seung-ho, Yu Jun-sang, Oh Na-ra, Yoo In-soo"
